iter	Passed	Remaining
409	4688	18183
410	4705	18190
411	4716	18177
412	4727	18164
413	4738	18153
414	4748	18136
415	4758	18120
416	4769	18105
417	4779	18090
418	4791	18079
419	4802	18067
420	4813	18053
421	4824	18040
422	4836	18031
423	4846	18014
424	4857	18002
425	4869	17991
426	4879	17976
427	4890	17963
428	4901	17949
429	4913	17939
430	4924	17925
431	4934	17911
432	4945	17898
433	4957	17887
434	4968	17876
435	4979	17863
436	4991	17851
437	5003	17842
438	5014	17829
439	5025	17818
440	5037	17806
441	5048	17794
442	5059	17782
443	5071	17771
444	5081	17757
445	5092	17743
446	5103	17731
447	5113	17716
448	5125	17704
449	5136	17691
450	5147	17678
451	5158	17666
452	5169	17652
453	5179	17638
454	5190	17624
455	5201	17610
456	5212	17599
457	5223	17587
458	5235	17577
459	5246	17566
460	5257	17552
461	5269	17541
462	5280	17528
463	5290	17513
464	5302	17502
465	5313	17489
466	5324	17477
467	5335	17465
468	5345	17451
469	5356	17437
470	5367	17425
471	5379	17413
472	5390	17401
473	5400	17385
474	5411	17373
475	5423	17363
476	5434	17353
477	5446	17341
478	5457	17328
479	5467	17315
480	5480	17306
481	5491	17294
482	5501	17280
483	5513	17268
484	5526	17262
485	5536	17246
486	5547	17233
487	5558	17221
488	5570	17211
489	5581	17199
490	5592	17188
491	5604	17178
492	5615	17166
493	5627	17155
494	5638	17142
495	5649	17130
496	5661	17120
497	5672	17109
498	5684	17098
499	5697	17092
500	5710	17085
501	5721	17072
502	5731	17058
503	5742	17045
504	5753	17031
505	5763	17016
506	5775	17007
507	5786	16995
508	5797	16982
509	5808	16969
510	5820	16960
511	5831	16947
512	5842	16933
513	5853	16923
514	5865	16912
515	5876	16899
516	5886	16885
517	5896	16871
518	5907	16857
519	5918	16845
520	5933	16843
521	5943	16829
522	5954	16815
523	5965	16803
524	5976	16792
525	5988	16780
526	5999	16768
527	6009	16755
528	6020	16740
529	6032	16731
530	6042	16717
531	6053	16704
532	6065	16694
533	6075	16678
534	6086	16666
535	6096	16652
536	6107	16639
537	6117	16625
538	6130	16615
539	6140	16602
540	6151	16590
541	6162	16576
542	6174	16566
543	6185	16556
544	6196	16544
545	6207	16529
546	6217	16516
547	6228	16503
548	6239	16490
549	6249	16477
550	6261	16466
551	6272	16454
552	6282	16439
553	6293	16427
554	6305	16417
555	6317	16406
556	6328	16395
557	6340	16385
558	6352	16375
559	6363	16363
560	6374	16350
561	6384	16336
562	6395	16324
563	6406	16312
564	6417	16299
565	6427	16283
566	6438	16271
567	6449	16259
568	6460	16247
569	6471	16236
570	6482	16222
571	6492	16208
572	6503	16195
573	6514	16184
574	6525	16170
575	6535	16157
576	6546	16146
577	6557	16133
578	6567	16118
579	6578	16106
