iter	Logloss
213	0.4699236895
214	0.469862452
215	0.4698128434
216	0.4697608381
217	0.4697140852
218	0.4696787686
219	0.4696358808
220	0.4695938224
221	0.4695637829
222	0.4695176384
223	0.4694835975
224	0.4694454728
225	0.4694010155
226	0.4693374637
227	0.469298661
228	0.469245187
229	0.4692043321
230	0.4691615221
231	0.4691156786
232	0.469070028
233	0.4690451088
234	0.4690238785
235	0.4689712986
236	0.4689246971
237	0.4688812868
238	0.4688479921
239	0.4688074344
240	0.4687653763
241	0.4687206623
242	0.4686723785
243	0.4686303257
244	0.4685965137
245	0.468574143
246	0.4685358622
247	0.4685175772
248	0.4685067653
249	0.4684594261
250	0.4684338844
251	0.4684178332
252	0.4683864226
253	0.4683565601
254	0.4683140836
255	0.4682776709
256	0.468250977
257	0.4682197797
258	0.4681982363
259	0.4681614811
260	0.4681259501
261	0.4680745405
262	0.4680372868
263	0.4680088495
264	0.4679874213
265	0.4679685099
266	0.4679432144
267	0.4679307146
268	0.4678938842
269	0.4678432368
270	0.4678207444
271	0.4677835211
272	0.4677619069
273	0.4677252435
274	0.4676828288
275	0.4676357307
276	0.467600275
277	0.4675602024
278	0.467531185
279	0.4674840936
280	0.4674614722
281	0.467434734
282	0.4674057261
283	0.467371118
284	0.4673528544
285	0.4673202962
286	0.4672798505
287	0.4672391383
288	0.4672215968
289	0.4671793845
290	0.4671148603
291	0.4670805744
292	0.4670554437
293	0.4670348556
294	0.4670144782
295	0.4669817144
296	0.4669357315
297	0.4668992579
298	0.4668514472
299	0.4668188506
300	0.4667821564
301	0.4667591912
302	0.4667417311
303	0.4667097457
304	0.4666838626
305	0.4666585392
306	0.4666125445
307	0.4665920821
308	0.4665604069
309	0.466517872
310	0.4664806142
311	0.4664559581
312	0.466443588
313	0.466422325
314	0.4663859505
315	0.4663440159
316	0.4663152696
317	0.4662846038
318	0.4662573547
319	0.4662324657
320	0.4661809829
321	0.4661575074
322	0.4661182127
323	0.466087326
324	0.466042424
325	0.4660110971
326	0.4659774287
327	0.4659443514
328	0.4659224133
329	0.4658952436
330	0.4658541665
331	0.4658291002
332	0.4657778507
333	0.4657505137
334	0.4657219967
335	0.4656895966
336	0.4656607853
337	0.465634572
338	0.4656025911
339	0.465577425
340	0.4655467689
341	0.46550597
342	0.4654874207
343	0.4654560791
344	0.4654098824
345	0.465380361
346	0.4653485955
347	0.465336549
348	0.4653137397
349	0.46527565
350	0.4652349733
351	0.4652008252
352	0.4651800698
353	0.4651605414
354	0.4651456766
355	0.4651246408
356	0.4650773194
357	0.4650464746
358	0.465020982
359	0.4649845398
360	0.4649451159
361	0.4648907343
362	0.464859022
363	0.4648328653
364	0.4647973933
365	0.4647698085
366	0.4647157858
367	0.4646908915
368	0.464637127
369	0.4646005886
370	0.4645554621
371	0.4645355743
372	0.4645037843
373	0.4644747847
374	0.4644200552
375	0.4643877106
376	0.464355028
377	0.4643225166
378	0.4642755246
379	0.4642554259
380	0.4642216302
381	0.4641793088
382	0.4641511876
383	0.4641217577
384	0.4640946961
385	0.4640579917
386	0.4640338845
387	0.4639956081
388	0.4639661507
389	0.4639269658
390	0.4638919336
391	0.4638598846
392	0.4638221266
393	0.4637751643
394	0.4637267583
395	0.4636963334
396	0.4636583951
397	0.4635921922
398	0.46357242
399	0.4635402762
400	0.463496163
401	0.4634658849
402	0.4634440932
403	0.4634196896
404	0.4633798899
405	0.4633492841
406	0.4633037358
407	0.4632423388
408	0.4632202034
409	0.4631777961
410	0.4631305885
411	0.4630847176
412	0.4630492416
413	0.4630060499
414	0.4629701199
415	0.462943769
416	0.4628997857
417	0.4628789642
418	0.4628387568
419	0.4627951077
420	0.4627677956
421	0.4627212471
422	0.4626932309
423	0.462642835
424	0.4626046685
425	0.4625546153
426	0.4625310606
427	0.4624979367
428	0.4624688623
429	0.4624241831
430	0.462392903
431	0.4623542245
432	0.4623088553
433	0.4622577266
434	0.4622313668
435	0.4621988865
436	0.4621731575
437	0.4621253581
438	0.4620775039
439	0.4620264817
440	0.4619742597
441	0.4619315939
442	0.4619059119
443	0.4618669779
444	0.461822235
445	0.4617755981
446	0.4617475343
447	0.4617192169
448	0.4616915102
449	0.461651811
450	0.4616169849
451	0.4615773557
452	0.4615515473
453	0.4615261592
454	0.4614923152
455	0.4614633514
456	0.4614367929
457	0.4613981975
458	0.4613636542
459	0.4613171377
460	0.4612728728
461	0.4612427925
462	0.4612205105
463	0.4612094341
464	0.461161102
465	0.4611213301
466	0.461085086
467	0.4610415499
468	0.4609850315
469	0.4609406694
470	0.4608943799
471	0.4608699753
472	0.4608488939
473	0.4608064375
474	0.4607773294
475	0.4607572766
476	0.4607143041
477	0.4606711594
478	0.4606458622
479	0.460603252
480	0.4605581079
481	0.4605232633
482	0.4604819423
483	0.4604388269
484	0.4603884682
485	0.4603497685
486	0.4603195887
487	0.4602746813
488	0.4602359335
489	0.4602085365
490	0.4601668251
491	0.460125087
492	0.4600853105
493	0.4600472919
494	0.4600248952
495	0.4600134181
496	0.4599713665
497	0.4599350157
498	0.4598997915
499	0.4598725928
500	0.4598241357
501	0.4598033287
502	0.4597659401
503	0.459727139
504	0.4596866388
505	0.4596656407
506	0.4596225774
507	0.4595813808
508	0.4595485294
509	0.4595147562
510	0.4594895706
511	0.459453412
512	0.4594110621
513	0.4593877428
514	0.4593700365
515	0.4593508115
516	0.4593328967
517	0.4592826681
518	0.4592503574
519	0.4592136302
520	0.4591938781
521	0.4591608718
522	0.4591278619
523	0.4590934023
524	0.4590766966
525	0.4590635568
526	0.4590386603
527	0.459015907
528	0.4589889196
529	0.4589426668
530	0.4589037632
531	0.4588622774
532	0.4588389623
533	0.4588016967
534	0.4587627615
535	0.4587276054
536	0.4587057229
537	0.4586550422
538	0.4586185438
539	0.4586065147
540	0.4585639156
541	0.4585240215
542	0.4584847521
543	0.4584483841
544	0.458414135
545	0.4583828259
546	0.4583669925
547	0.4583314956
548	0.4582845828
549	0.4582524401
550	0.4582020332
551	0.4581621122
552	0.4581370752
553	0.4580942524
554	0.4580790252
555	0.4580473795
556	0.4580259832
557	0.4579914583
558	0.4579573334
559	0.4579055894
560	0.4578945376
561	0.4578508206
562	0.4578181502
563	0.4577856116
564	0.4577596058
565	0.4577304093
566	0.4576965172
567	0.4576708352
568	0.4576561338
569	0.4576355093
570	0.4576229258
571	0.4576051009
572	0.45756325
573	0.457522815
574	0.4574956816
575	0.4574754274
576	0.4574416657
577	0.4574297901
578	0.4573723295
579	0.4573315127
